cin,company_name,status,incorporation_date,state,director_1,director_2,paid_up_capital,last_filing_date,email
U74999KA2011PTC246316,Bharat Finance Pvt Ltd,Strike Off,01-01-2014,Karnataka,Manoj Hegde,Seema Nair,"₹50,000,000",,support@bharat.com
U74999MP2020PTC944962,Smart Logistics Pvt Ltd,Active ,03/07/2012,Madhya Pradesh,Girish Patel,Harish Kulkarni,"1,000,000",04-02-2023,accounts@smart.com
U74999RJ2018PTC748564,National Infosystems Pvt Ltd,under liquidation,03-12-2011,Rajasthan,Manoj Das,,"100,000",,info@national.com
U74999TS2018PTC379946,Tech Consulting Pvt Ltd,Strike Off,18-03-2018,Telangana,Usha Dubey,Seema Reddy,50000000,15-07-2022,info@yahoo.com
,Vertex Enterprises Pvt Ltd,Under liquidation,11/16/2011,Telangana,Rajesh Reddy,Nitin Iyer,"₹50,000,000",05-05-2024,support@vertex.com
U74999TN2008PTC214975,Zenith Systems Pvt Ltd,active,13-02-2017,Tamil Nadu,Seema Srivastava,Sunita Banerjee,"10,000,000",17-05-2024,accounts@outlook.com..
U74999TN2022PTC854639,Nexus Solutions Pvt Ltd,active,28-02-2022,Tamil Nadu,Deepak Naik,Madhuri Dubey,"₹100,000",05-06-2022,@@gmail.com
U74999GJ2017PTC182582,Digital Solutions Pvt Ltd,Active ,25-09-2020,Gujarat,Kiran Naik,,"10,000,000",,hello@yahoo.com
U74999DL2018PTC781446,United Enterprises Pvt Ltd,Active ,03-04-2011,Delhi,Ramesh Singh,Anita Reddy,Rs. 100000,19-04-2022,admin@gmail.com
U74999GJ2010PTC858490,Allied Systems Pvt Ltd,DORMANT,26-04-2015,Gujarat,Anil Banerjee,Jyoti Rao,"5,000,000",07-02-2024,info@company.co.in
U74999KA2020PTC214576,India Analytics Pvt Ltd,active,14-03-2015,Karnataka,Mohan Tiwari,Seema Patel,"₹100,000",08-02-2024,support@gmail.com
U74999DL2011PTC520521,Tech Analytics Pvt Ltd,Under Liquidation,09-07-2008,Delhi,Seema Banerjee,Meena Nair,1000000,10-07-2024,info@tech.in
,Metro Consulting Pvt Ltd,active,28-02-2016,Maharashtra,Vandana Patel,Rohit Reddy,"₹10,000,000",22-04-2021,support@gmail.com
U74999MP2012PTC314181,Venture Infosystems Pvt Ltd,STRIKE OFF,2012/07/05,Madhya Pradesh,Vijay Sharma,Rohit Patel,100000,15-06-2023,support@outlook.com
U74999TS2013PTC398830,Meridian Technologies Pvt Ltd,ACTIVE,17-11-2020,Telangana,Seema Gupta,Anil Yadav,500000,,info@company.co.in
U74999GJ2013PTC313487,Apex Innovations Pvt Ltd,STRIKE OFF,28-05-2015,Gujarat,Jyoti Pandey,,100000,,contact@company.co.in
U74999TN2014PTC688153,Metro Systems Pvt Ltd,Active,2016/01/27,Tamil Nadu,Suresh Gupta,Suresh Yadav,1000000,14-03-2022,contact @ company.co.in
U74999RJ2022PTC348237,Capital Finance Pvt Ltd,Under Liquidation,24-03-2008,Rajasthan,Lalitha Iyer,,50000000,26-11-2024,info@capital.com
U74999WB2021PTC338651,Horizon Enterprises Pvt Ltd,active,28-05-2013,West Bengal,Usha Verma,Vandana Banerjee,10000000,,info@gmail.com
U74999GJ2012PTC140115,Tech Innovations Pvt Ltd,Active ,06/14/2019,Gujarat,Sanjay Iyer,,5000000,13-10-2021,support@company.co.in
,Horizon Analytics Pvt Ltd,STRIKE OFF,28-11-2013,Delhi,Geeta Hegde,Dinesh Shah,"₹5,000,000",,support@yahoo.com
U74999RJ2017PTC696750,Allied Finance Pvt Ltd,Active,04/14/2012,Rajasthan,Mohan Banerjee,,"5,000,000",15-08-2023,accounts@yahoo.com
U74999GJ2013PTC197923,Zenith Infrastructure Pvt Ltd,strike off,04/05/2011,Gujarat,Lalitha Bhat,Vijay Pillai,Rs. 5000000,,support@yahoo.com
U74999RJ2018PTC821024,Orbit Analytics Pvt Ltd,Active,26-03-2011,Rajasthan,Lalitha Dubey,Renu Mehta,"₹5,000,000",02-09-2024,support@orbit.in
U74999WB2016PTC547470,Capital Realty Pvt Ltd,Under liquidation,24-03-2022,West Bengal,Usha Das,Shobha Agarwal,500000,09-04-2024,info@company.co.in
U74999GJ2009PTC245095,Pioneer Consulting Pvt Ltd,Active ,2019/04/03,Gujarat,Dinesh Kumar,,5000000,18-08-2023,support @ company.co.in
U74999RJ2012PTC890075,Orbit Solutions Pvt Ltd,Active ,18-12-2019,Rajasthan,Usha Rao,Girish Shah,"₹50,000,000",16-04-2022,hello@company.co.in
U74999WB2016PTC128276,Paradigm Services Pvt Ltd,Under liquidation,03-01-2018,West Bengal,Pooja Kumar,,1000000,28-08-2022,admin@outlook.com
U74999RJ2014PTC364525,Smart Logistics Pvt Ltd,under liquidation,02-09-2019,Rajasthan,Vijay Das,Suresh Das,Rs. 100000,08-11-2023,contact@gmail.com
U74999DL2017PTC328552,Prime Systems Pvt Ltd,ACTIVE,10/20/2010,Delhi,Geeta Patel,Geeta Desai,Rs. 50000000,25-03-2021,hello@prime.com
U74999DL2018PTC354646,National Innovations Pvt Ltd,ACTIVE,26-02-2020,Delhi,Jyoti Banerjee,Arvind Agarwal,1000000,12-09-2021,@@national.com
U74999WB2019PTC647091,United Services Pvt Ltd,dormant,25-09-2020,West Bengal,Archana Iyer,Lalitha Pandey,100000,27-12-2024,hello@yahoo.com
U74999MP2008PTC618317,Capital Infrastructure Pvt Ltd,Under Liquidation,26-06-2011,Madhya Pradesh,Usha Naik,,500000,20-12-2023,accounts@capital.com
U74999DL2015PTC569945,United Systems Pvt Ltd,Strike Off,07/23/2011,Delhi,Madhuri Verma,Seema Shah,"₹1,000,000",16-09-2023,admin@outlook.com
